,countries_of_the_world,countries_of_the_world/Countries,countries_of_the_world/Countries/Country,countries_of_the_world/Countries/Geography,countries_of_the_world/Countries/Geography/Region,countries_of_the_world/Countries/Geography/Area,countries_of_the_world/Countries/Geography/Coastline,countries_of_the_world/Countries/Economy,countries_of_the_world/Countries/Economy/GDP,countries_of_the_world/Countries/Economy/Crops,countries_of_the_world/Countries/Economy/Agricultural,countries_of_the_world/Countries/Economy/Industry,countries_of_the_world/Countries/Economy/Arable,countries_of_the_world/Countries/Demography,countries_of_the_world/Countries/Demography/Population,countries_of_the_world/Countries/Demography/Population-Density,countries_of_the_world/Countries/Demography/Deathrate,countries_of_the_world/Countries/Demography/Birthrate,countries_of_the_world/Countries/Demography/Infant-Mortality,countries_of_the_world/Countries/Demography/Net-Migration,countries_of_the_world/Countries/Demography/Literacy,countries_of_the_world/Countries/Others,countries_of_the_world/Countries/Others/Phones,countries_of_the_world/Countries/Others/Climate,countries_of_the_world/Countries/Others/Service,countries_of_the_world/Countries/Others/other
Mediated_Schema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/Country,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/Demography,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/Demography/infant_mortality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mediated_Schema/Countries/Demography/netmigration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mediated_Schema/Countries/Demography/population,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/Demography/population_density,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/Demography/population_in_thousands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/Geography,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/Geography/coastline,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/Geography/region,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/Geography/surfacearea,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/HDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/HDI/HDI_rank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/HDI/human_Development_category,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/HDI/human_Development_index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/economy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/economy/economy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/economy/gross_national_income,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/education/literacy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/social,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediated_Schema/Countries/social/life_expectancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
